Timestamp Start,Open,High,Low,Close,Volume,Timestamp End,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2021-10-29,4286.01,4460.47,4265.97,4418.89,559231.07691,2021-10-29 23:59:59.999,2440933126.0486555,1799386,299827.57771,1309028738.7546902,0
2021-10-30,4418.89,4434.06,4232.2,4322.68,340223.069,2021-10-30 23:59:59.999,1469664811.936835,1035476,164985.5425,712725589.416983,0
2021-10-31,4322.68,4399.14,4164.35,4287.21,412856.2893,2021-10-31 23:59:59.999,1764886607.687624,1303438,207029.193,885572414.3197529,0
2021-11-01,4287.48,4386.58,4146.3,4319.43,417620.7073,2021-11-01 23:59:59.999,1794319887.30236,1134036,208433.9365,895858147.040655,0
2021-11-02,4319.43,4599.6,4284.43,4589.89,468184.79301,2021-11-02 23:59:59.999,2083371519.8068273,1657233,245450.7112,1092310373.4304738,0
2021-11-03,4589.68,4665.87,4455.0,4603.35,448658.35125,2021-11-03 23:59:59.999,2051737308.0126247,1580640,221693.79026,1014198753.1220545,0
2021-11-04,4603.35,4606.65,4420.08,4532.32,368218.25695,2021-11-04 23:59:59.999,1663942873.793036,1019675,180789.4819,817221755.717328,0
2021-11-05,4532.31,4570.05,4438.8,4474.24,305651.7244,2021-11-05 23:59:59.999,1375503505.227947,893068,152155.8565,684734029.750039,0
2021-11-06,4474.24,4530.0,4326.17,4518.0,322154.0973,2021-11-06 23:59:59.999,1429791261.319524,868676,162175.6278,720042764.54545,0
2021-11-07,4518.0,4637.98,4502.37,4612.59,243596.5952,2021-11-07 23:59:59.999,1115635571.36518,834745,124167.1925,568809173.880069,0
2021-11-08,4612.59,4822.97,4612.0,4807.98,391102.31806,2021-11-08 23:59:59.999,1850800839.6928573,1344244,202324.49531,957541306.1850829,0
2021-11-09,4807.98,4838.28,4713.89,4732.33,311267.57998,2021-11-09 23:59:59.999,1489567265.669691,995668,147968.47588,708147066.5785884,0
2021-11-10,4732.33,4868.0,4461.93,4628.78,553596.99163,2021-11-10 23:59:59.999,2600175501.1604886,1492374,270065.18221,1268630239.571584,0
2021-11-11,4628.68,4779.0,4576.47,4719.0,303688.9765,2021-11-11 23:59:59.999,1425610198.742417,909164,157894.3577,741000169.5926889,0
2021-11-12,4719.0,4809.71,4507.85,4665.46,461580.0415,2021-11-12 23:59:59.999,2146130116.8717673,1206412,233963.1159,1088185088.951037,0
2021-11-13,4665.47,4707.6,4584.08,4644.28,220720.6611,2021-11-13 23:59:59.999,1026142451.546252,731125,118424.284,550635027.19302,0
2021-11-14,4644.27,4696.05,4514.12,4626.5,245309.0674,2021-11-14 23:59:59.999,1126786539.405778,623491,122672.4061,563409641.23753,0
2021-11-15,4626.5,4772.01,4540.0,4563.78,375421.6601,2021-11-15 23:59:59.999,1752738875.791921,1061676,193844.8631,905084671.525607,0
2021-11-16,4563.77,4563.77,4103.0,4209.76,735857.063,2021-11-16 23:59:59.999,3163788841.066021,1741259,354749.4963,1525045237.187241,0
2021-11-17,4209.59,4299.91,4063.48,4287.8,472852.1842,2021-11-17 23:59:59.999,1980248927.7112312,1146593,230168.3863,964335338.1946579,0
2021-11-18,4288.07,4344.81,3956.44,3996.9,576945.1837,2021-11-18 23:59:59.999,2387588164.850108,1319866,271503.5573,1123646212.609458,0
2021-11-19,3996.9,4308.97,3973.01,4294.76,420045.0897,2021-11-19 23:59:59.999,1740904041.283998,984517,220791.4006,915311333.172286,0
2021-11-20,4294.75,4435.88,4199.86,4412.17,365584.578,2021-11-20 23:59:59.999,1577172914.216076,888090,184875.7626,797947406.834007,0
2021-11-21,4412.17,4451.0,4242.41,4258.31,340206.3203,2021-11-21 23:59:59.999,1479842945.950397,836925,163875.6246,712849742.985788,0
2021-11-22,4259.7,4320.0,4022.74,4085.97,518501.3338,2021-11-22 23:59:59.999,2167112891.8657327,1162581,252693.2206,1055865143.426048,0
2021-11-23,4086.28,4385.59,4059.62,4339.44,502811.7902,2021-11-23 23:59:59.999,2125825553.2223232,1098270,257182.2577,1087600936.697824,0
2021-11-24,4339.45,4373.94,4167.65,4269.36,448727.0306,2021-11-24 23:59:59.999,1913428104.737214,990018,224088.2362,955466127.579108,0
2021-11-25,4270.1,4550.0,4248.27,4524.85,445868.2434,2021-11-25 23:59:59.999,1962939107.4477448,1123629,231824.3193,1020486293.959096,0
2021-11-26,4524.48,4551.0,3913.0,4041.2,720245.1612,2021-11-26 23:59:59.999,2994490664.021844,1654553,348872.8661,1449711434.447617,0
2021-11-27,4041.2,4183.66,4028.34,4095.29,275326.5202,2021-11-27 23:59:59.999,1133169071.35039,723831,136157.3482,560538419.133488,0
2021-11-28,4095.29,4298.51,3964.0,4294.78,346471.3551,2021-11-28 23:59:59.999,1421535999.752079,842343,174386.8187,716242629.1809369,0
2021-11-29,4294.77,4458.92,4276.89,4444.53,406881.2284,2021-11-29 23:59:59.999,1772611136.392454,947503,197615.3669,861297710.0512381,0
2021-11-30,4444.54,4753.0,4346.36,4630.26,743024.4662,2021-11-30 23:59:59.999,3391424543.472383,1808789,382798.4648,1747000994.593408,0
2021-12-01,4630.25,4778.75,4523.99,4582.95,508198.3105,2021-12-01 23:59:59.999,2382156066.737272,1367302,246310.7878,1154670707.221559,0
2021-12-02,4582.95,4634.83,4433.0,4511.21,451861.9545,2021-12-02 23:59:59.999,2047468326.802657,1062149,226209.1863,1025021244.456828,0
2021-12-03,4511.35,4654.88,4032.5,4215.73,677974.8659,2021-12-03 23:59:59.999,2972156867.637412,1516700,333149.3796,1461878585.380166,0
2021-12-04,4215.01,4238.59,3503.68,4117.25,1111773.1451,2021-12-04 23:59:59.999,4370074804.513231,2264288,530635.0464,2087295412.4309409,0
2021-12-05,4117.25,4248.19,4031.39,4196.44,536325.4413,2021-12-05 23:59:59.999,2224220852.2791967,1088546,267574.1867,1110245049.715657,0
2021-12-06,4196.44,4376.15,3921.0,4347.59,726742.9638,2021-12-06 23:59:59.999,2991267298.82173,1447061,359456.3673,1481368763.448508,0
2021-12-07,4347.57,4425.0,4255.92,4306.4,420749.751,2021-12-07 23:59:59.999,1830621575.426944,986492,209138.1349,910268147.820948,0
2021-12-08,4306.4,4450.49,4222.95,4436.91,429403.9351,2021-12-08 23:59:59.999,1868281437.565388,991178,218029.7487,949111222.931751,0
2021-12-09,4436.91,4488.0,4076.16,4105.64,462173.711,2021-12-09 23:59:59.999,1970732612.694487,1038790,220095.1564,939705730.525763,0
2021-12-10,4105.64,4231.08,3887.37,3897.94,563236.5671,2021-12-10 23:59:59.999,2287155262.156313,1098758,275875.2948,1121490841.658745,0
2021-12-11,3898.31,4097.08,3828.22,4089.37,427853.4343,2021-12-11 23:59:59.999,1711893271.974861,831899,219400.0965,877920201.044637,0
2021-12-12,4089.68,4173.63,3986.25,4130.0,260535.5157,2021-12-12 23:59:59.999,1061361793.041272,591319,132750.983,540996287.574902,0
2021-12-13,4130.0,4142.75,3671.45,3781.93,533467.2307,2021-12-13 23:59:59.999,2068534029.5511048,1144882,254674.9584,987547550.4039581,0
2021-12-14,3781.92,3882.74,3685.0,3858.99,395145.7462,2021-12-14 23:59:59.999,1499985094.813692,915721,201941.9271,767055531.293764,0
2021-12-15,3858.99,4092.22,3643.73,4019.08,542068.0573,2021-12-15 23:59:59.999,2102151850.1145847,1238234,279106.549,1083422761.69731,0
2021-12-16,4019.54,4113.43,3942.11,3958.11,368780.031,2021-12-16 23:59:59.999,1489983161.888796,848885,183514.6827,741663724.8964751,0
2021-12-17,3959.11,3994.1,3700.0,3875.42,463370.9225,2021-12-17 23:59:59.999,1789265513.242975,1052871,229084.7318,885680674.009295,0
2021-12-18,3875.43,3996.93,3767.01,3959.93,339593.2543,2021-12-18 23:59:59.999,1326617546.276588,740899,169241.7877,661219380.083755,0
2021-12-19,3959.93,4032.43,3884.0,3924.14,306006.323,2021-12-19 23:59:59.999,1208752533.595065,688078,155815.0605,615474823.433924,0
2021-12-20,3924.14,3983.37,3753.0,3944.73,366916.4771,2021-12-20 23:59:59.999,1416566980.691001,844070,174604.9108,674073059.621831,0
2021-12-21,3944.72,4063.0,3913.21,4014.15,340826.3553,2021-12-21 23:59:59.999,1364232642.488108,799127,166855.9599,668028914.5581369,0
2021-12-22,4014.41,4074.87,3933.4,3979.51,303191.8076,2021-12-22 23:59:59.999,1215914916.525937,675826,145269.3136,582537202.2889271,0
2021-12-23,3979.51,4150.0,3893.23,4111.41,380207.8166,2021-12-23 23:59:59.999,1525274496.506047,911905,194409.2359,780346994.886132,0
2021-12-24,4111.41,4134.84,4017.17,4046.36,230833.1661,2021-12-24 23:59:59.999,943702137.854923,593513,108806.8975,444971527.996165,0
2021-12-25,4046.35,4137.91,4018.62,4094.83,208126.8805,2021-12-25 23:59:59.999,846912042.129082,515115,100652.6926,409702072.869234,0
2021-12-26,4094.36,4105.0,4000.0,4063.56,189309.255,2021-12-26 23:59:59.999,767315615.268866,496076,88120.2395,357288552.818294,0
2021-12-27,4063.57,4127.46,4031.0,4037.23,222225.3761,2021-12-27 23:59:59.999,905682624.776776,557367,105491.2656,430072907.835348,0
2021-12-28,4037.22,4037.23,3759.36,3792.75,358064.7163,2021-12-28 23:59:59.999,1393962041.501678,846780,163464.6181,636073474.3419831,0
2021-12-29,3792.75,3827.78,3604.2,3630.19,302753.6375,2021-12-29 23:59:59.999,1136202240.431213,719559,138893.5886,521509292.190415,0
2021-12-30,3630.18,3769.1,3585.0,3709.27,249263.7305,2021-12-30 23:59:59.999,921537785.386881,583361,125440.9911,463883545.33237296,0
2021-12-31,3709.27,3815.0,3622.29,3676.23,268014.2942,2021-12-31 23:59:59.999,1001765030.138141,617370,131438.1771,491454123.810568,0
2022-01-01,3676.22,3776.45,3673.46,3765.54,154143.8968,2022-01-01 23:59:59.999,574718328.452744,408666,76937.9798,286855413.588924,0
2022-01-02,3765.54,3857.44,3717.3,3828.27,154791.4263,2022-01-02 23:59:59.999,585374957.73046,450610,81170.5053,307056603.74279,0
2022-01-03,3828.11,3853.09,3680.0,3765.89,236245.8586,2022-01-03 23:59:59.999,892944105.5529939,594541,114525.6299,433084435.776656,0
2022-01-04,3765.89,3900.73,3713.11,3785.11,288258.5549,2022-01-04 23:59:59.999,1098182607.925726,676651,147451.4285,561958201.762099,0
2022-01-05,3785.1,3848.0,3415.0,3540.63,397942.0363,2022-01-05 23:59:59.999,1464819255.093511,962670,183641.1134,676663293.71856,0
2022-01-06,3539.82,3550.43,3300.0,3406.81,496745.7413,2022-01-06 23:59:59.999,1698727637.365026,1006279,250536.4828,856938730.300548,0
2022-01-07,3406.81,3416.76,3064.42,3199.24,669631.7262,2022-01-07 23:59:59.999,2149562773.329257,1307591,329420.1321,1057683053.114078,0
2022-01-08,3198.68,3250.0,3000.0,3080.95,400692.1061,2022-01-08 23:59:59.999,1252795163.486269,814600,192818.0544,602863815.601238,0
2022-01-09,3080.98,3211.72,3057.35,3151.97,275874.1643,2022-01-09 23:59:59.999,864505480.881738,591523,140931.0384,441833198.219928,0
2022-01-10,3151.97,3185.0,2928.83,3082.68,529818.3866,2022-01-10 23:59:59.999,1616550523.097201,935157,259668.2416,792807641.846424,0
2022-01-11,3082.87,3263.54,3051.8,3239.72,362446.7087,2022-01-11 23:59:59.999,1145852583.62298,668961,184190.5779,582792200.298909,0
