price,symbol,time
1.4474982591609187,HLP w/ Yield,2024-07-18 12:14:37.000 UTC
1.4384079647897299,HLP index,2024-07-18 12:08:07.000 UTC
1.4469371527881139,HLP w/ Yield,2024-07-18 12:08:07.000 UTC
1.4384079647897299,HLP index,2024-07-18 12:01:25.000 UTC
1.446662812348853,HLP w/ Yield,2024-07-18 12:01:25.000 UTC
1.4343340360104209,HLP index,2024-07-18 11:10:35.000 UTC
1.4436640810427674,HLP w/ Yield,2024-07-18 11:10:35.000 UTC
1.4343340360104209,HLP index,2024-07-18 11:05:32.000 UTC
1.4445134028059115,HLP w/ Yield,2024-07-18 11:05:32.000 UTC
1.4345504774980113,HLP index,2024-07-18 10:25:43.000 UTC
1.4440417472638722,HLP w/ Yield,2024-07-18 10:25:43.000 UTC
1.4345504774980113,HLP index,2024-07-18 10:06:30.000 UTC
1.4453377668583376,HLP w/ Yield,2024-07-18 10:06:30.000 UTC
1.4370634442116939,HLP index,2024-07-18 09:51:54.000 UTC
1.4468177729910587,HLP w/ Yield,2024-07-18 09:51:54.000 UTC
1.4370634442116939,HLP index,2024-07-18 09:25:56.000 UTC
1.4469170475008488,HLP w/ Yield,2024-07-18 09:25:56.000 UTC
1.4370634442116939,HLP index,2024-07-18 09:21:50.000 UTC
1.4462587610430375,HLP w/ Yield,2024-07-18 09:21:50.000 UTC
1.4370634442116939,HLP index,2024-07-18 09:21:14.000 UTC
1.4462690188449359,HLP w/ Yield,2024-07-18 09:21:14.000 UTC
1.4370634442116939,HLP index,2024-07-18 09:19:44.000 UTC
1.446383293701248,HLP w/ Yield,2024-07-18 09:19:44.000 UTC
1.434985704423279,HLP index,2024-07-18 08:19:10.000 UTC
1.4455833675271068,HLP w/ Yield,2024-07-18 08:19:10.000 UTC
1.4350861173342628,HLP index,2024-07-18 07:02:05.000 UTC
1.4467173809372547,HLP w/ Yield,2024-07-18 07:02:05.000 UTC
1.4306034625383042,HLP index,2024-07-18 05:55:49.000 UTC
1.4443825801829866,HLP w/ Yield,2024-07-18 05:55:49.000 UTC
1.4306034625383042,HLP index,2024-07-18 05:46:44.000 UTC
1.4441499792886898,HLP w/ Yield,2024-07-18 05:46:44.000 UTC
1.4306034625383042,HLP index,2024-07-18 05:19:04.000 UTC
1.4420897761338063,HLP w/ Yield,2024-07-18 05:19:04.000 UTC
1.431131573170989,HLP index,2024-07-18 02:45:27.000 UTC
1.4433331822628763,HLP w/ Yield,2024-07-18 02:45:27.000 UTC
1.426571394064491,HLP index,2024-07-17 22:03:15.000 UTC
1.4410788358997508,HLP w/ Yield,2024-07-17 22:03:15.000 UTC
1.427056074473946,HLP index,2024-07-17 21:49:44.000 UTC
1.441421846525717,HLP w/ Yield,2024-07-17 21:49:44.000 UTC
1.427056074473946,HLP index,2024-07-17 21:42:25.000 UTC
1.4417632777265263,HLP w/ Yield,2024-07-17 21:42:25.000 UTC
1.427056074473946,HLP index,2024-07-17 21:29:03.000 UTC
1.4404803919900389,HLP w/ Yield,2024-07-17 21:29:03.000 UTC
1.427056074473946,HLP index,2024-07-17 21:05:48.000 UTC
1.4388451114817964,HLP w/ Yield,2024-07-17 21:05:48.000 UTC
1.4310158509142872,HLP index,2024-07-17 20:08:59.000 UTC
1.4428043526284886,HLP w/ Yield,2024-07-17 20:08:59.000 UTC
1.4305660509926759,HLP index,2024-07-17 19:59:30.000 UTC
1.4424714100425051,HLP w/ Yield,2024-07-17 19:59:30.000 UTC
1.4305660509926759,HLP index,2024-07-17 19:50:07.000 UTC
1.443734316275837,HLP w/ Yield,2024-07-17 19:50:07.000 UTC
1.4305660509926759,HLP index,2024-07-17 19:48:11.000 UTC
1.4431318180619463,HLP w/ Yield,2024-07-17 19:48:11.000 UTC
1.4287368393634265,HLP index,2024-07-17 18:27:10.000 UTC
1.442213035693031,HLP w/ Yield,2024-07-17 18:27:10.000 UTC
1.4268685449346716,HLP index,2024-07-17 17:11:00.000 UTC
1.4394437279315906,HLP w/ Yield,2024-07-17 17:11:00.000 UTC
1.4268685449346716,HLP index,2024-07-17 17:00:34.000 UTC
1.4406363711706736,HLP w/ Yield,2024-07-17 17:00:34.000 UTC
1.4283318949700465,HLP index,2024-07-17 16:18:16.000 UTC
1.4419518170525858,HLP w/ Yield,2024-07-17 16:18:16.000 UTC
1.4385546580866575,HLP index,2024-07-17 15:51:55.000 UTC
1.444924782038049,HLP w/ Yield,2024-07-17 15:51:55.000 UTC
1.4385546580866575,HLP index,2024-07-17 15:39:43.000 UTC
1.4494192222308424,HLP w/ Yield,2024-07-17 15:39:43.000 UTC
1.4385546580866575,HLP index,2024-07-17 15:09:43.000 UTC
1.4475591478334382,HLP w/ Yield,2024-07-17 15:09:43.000 UTC
1.4384547839684674,HLP index,2024-07-17 14:54:35.000 UTC
1.4467980563671252,HLP w/ Yield,2024-07-17 14:54:35.000 UTC
1.4384547839684674,HLP index,2024-07-17 14:46:06.000 UTC
1.4485133548990154,HLP w/ Yield,2024-07-17 14:46:06.000 UTC
1.4384547839684674,HLP index,2024-07-17 14:39:22.000 UTC
1.4484520071224267,HLP w/ Yield,2024-07-17 14:39:22.000 UTC
1.4384547839684674,HLP index,2024-07-17 14:19:21.000 UTC
1.44713705485874,HLP w/ Yield,2024-07-17 14:19:21.000 UTC
1.4384547839684674,HLP index,2024-07-17 14:17:14.000 UTC
1.4463900825498504,HLP w/ Yield,2024-07-17 14:17:14.000 UTC
1.4364701141171745,HLP index,2024-07-17 12:55:26.000 UTC
1.4457562661349417,HLP w/ Yield,2024-07-17 12:55:26.000 UTC
1.4364701141171745,HLP index,2024-07-17 12:46:28.000 UTC
