Timestamp Start,Open,High,Low,Close,Volume,Timestamp End,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1635465600000,195.37000000,205.22000000,194.45000000,200.41000000,2484214.02000000,1635551999999,497606675.46850000,812602,1237793.44000000,247988602.54470000,0
1635552000000,200.36000000,200.62000000,187.30000000,195.70000000,1609573.37000000,1635638399999,313557872.68710000,543081,754575.71000000,147037648.46410000,0
1635638400000,195.69000000,205.00000000,185.31000000,202.49000000,2375757.35000000,1635724799999,463132484.49580000,938513,1226421.93000000,239264783.87390000,0
1635724800000,202.53000000,211.66000000,197.70000000,203.90000000,3150076.28000000,1635811199999,645166048.77650000,1314713,1602892.30000000,328554604.92470000,0
1635811200000,203.91000000,222.22000000,200.97000000,220.82000000,2876704.54200000,1635897599999,605529841.35930000,1341741,1550569.63200000,326762328.68530000,0
1635897600000,220.81000000,247.00000000,215.69000000,243.37000000,5253716.35200000,1635983999999,1212857714.67852800,2883050,2721433.91500000,628783347.15057800,0
1635984000000,243.37000000,250.50000000,234.00000000,247.07000000,3552648.58000000,1636070399999,859506826.42668000,1645008,1797071.65000000,435184581.41998000,0
1636070400000,247.06000000,248.84000000,230.34000000,236.06000000,2233800.23000000,1636156799999,532866847.47350000,900681,1070780.29000000,255445411.16310000,0
1636156800000,236.04000000,259.90000000,234.79000000,258.44000000,3046062.46000000,1636243199999,753428880.69400000,1587133,1563351.45000000,387184415.48960000,0
1636243200000,258.41000000,258.66000000,245.65000000,249.68000000,1923092.87000000,1636329599999,484918560.74540000,744519,903116.70000000,227809447.06280000,0
1636329600000,249.62000000,253.30000000,240.68000000,248.26000000,2301351.76000000,1636415999999,566280886.19950000,823230,1027044.01000000,252851016.76060000,0
1636416000000,248.27000000,253.22000000,237.62000000,239.04000000,2217088.06000000,1636502399999,541627505.47560000,800356,943235.51000000,230490912.66080000,0
1636502400000,239.06000000,248.00000000,217.50000000,233.09000000,3092477.23000000,1636588799999,731537386.82700000,1103380,1431310.57000000,338836239.27060000,0
1636588800000,233.06000000,246.50000000,229.40000000,233.37000000,1997993.90000000,1636675199999,478333948.47900000,945124,990958.85000000,237392080.98420000,0
1636675200000,233.34000000,239.09000000,220.83000000,228.48000000,2114721.23000000,1636761599999,484150570.23290000,892715,1027353.36000000,235295498.14580000,0
1636761600000,228.46000000,241.97000000,224.79000000,241.59000000,1458387.39000000,1636847999999,339685082.78870000,769225,749007.85000000,174605343.75650000,0
1636848000000,241.58000000,242.00000000,230.40000000,238.64000000,1075144.87000000,1636934399999,253873402.65490000,591553,517050.57000000,122136632.88280000,0
1636934400000,238.63000000,246.36000000,234.49000000,238.20000000,1921128.24000000,1637020799999,463075752.69910000,818787,962432.01000000,232019440.42680000,0
1637020800000,238.18000000,238.21000000,213.81000000,219.04000000,2557623.67000000,1637107199999,576884837.30030000,922036,1198426.22000000,270267899.60110000,0
1637107200000,219.09000000,222.44000000,209.53000000,218.94000000,2094790.54000000,1637193599999,451229368.13120000,714591,1071604.85000000,230870381.31900000,0
1637193600000,218.90000000,222.78000000,186.50000000,195.01000000,3077799.94000000,1637279999999,624208055.02070000,855574,1480026.54000000,300089751.74040000,0
1637280000000,195.19000000,219.59000000,188.99000000,215.25000000,2712585.78000000,1637366399999,559175543.82700000,854484,1370250.47000000,282638968.60130000,0
1637366400000,215.25000000,221.17000000,205.84000000,217.63000000,1560552.25000000,1637452799999,334473495.72750000,549721,786418.67000000,168617404.83080000,0
1637452800000,217.64000000,240.00000000,210.53000000,230.51000000,1888280.05000000,1637539199999,420452594.56840000,728927,971042.70000000,216393028.65060000,0
1637539200000,230.56000000,231.99000000,211.60000000,215.59000000,2456703.81000000,1637625599999,541317085.39090000,956575,1211190.99000000,266909076.01610000,0
1637625600000,215.58000000,226.08000000,210.91000000,221.75000000,1654017.24000000,1637711999999,360287368.56680000,579396,830704.17000000,181068826.40360000,0
1637712000000,221.76000000,222.47000000,200.14000000,205.70000000,1878172.55000000,1637798399999,396608869.98660000,578989,914179.30000000,192854880.67430000,0
1637798400000,205.76000000,216.35000000,201.93000000,209.97000000,1764837.19000000,1637884799999,370397490.60100000,577000,886350.87000000,186037414.61240000,0
1637884800000,209.94000000,210.53000000,182.70000000,192.42000000,2776105.44000000,1637971199999,540229501.11970000,810627,1241556.23000000,241306147.81680000,0
1637971200000,192.37000000,199.39000000,190.61000000,192.74000000,1028955.27000000,1638057599999,201451693.22640000,367238,500367.73000000,97998067.23400000,0
1638057600000,192.74000000,202.10000000,180.93000000,200.69000000,1560980.85000000,1638143999999,297730465.47870000,474798,789804.92000000,150720533.79110000,0
1638144000000,200.71000000,212.75000000,199.63000000,204.09000000,1458763.57000000,1638230399999,299901553.19010000,545238,750271.35000000,154313710.98110000,0
1638230400000,204.10000000,218.28000000,199.55000000,208.53000000,2176734.39000000,1638316799999,457195214.44790000,733363,1041381.37000000,218887231.08030000,0
1638316800000,208.52000000,232.63000000,207.89000000,229.81000000,2589478.23000000,1638403199999,577828638.85610000,1057522,1298618.10000000,289619254.48410000,0
1638403200000,229.81000000,243.12000000,220.00000000,233.60000000,3042712.67000000,1638489599999,700072045.58430000,1248113,1495100.37000000,344340049.39440000,0
1638489600000,233.59000000,239.37000000,204.68000000,211.65000000,2867134.41000000,1638575999999,641504675.38060000,1049117,1397335.68000000,312684496.45480000,0
1638576000000,211.65000000,212.62000000,169.00000000,200.67000000,4895759.09000000,1638662399999,954137663.05290000,1532975,2421789.85000000,472560471.37230000,0
1638662400000,200.68000000,204.51000000,181.44000000,196.43000000,2482292.26000000,1638748799999,478706797.83060000,770294,1248916.37000000,240977765.37120000,0
1638748800000,196.49000000,197.71000000,176.17000000,193.56000000,2815245.83000000,1638835199999,527018793.72630000,768624,1393533.38000000,260993154.00160000,0
1638835200000,193.57000000,204.10000000,187.26000000,190.19000000,1939707.91000000,1638921599999,381921839.61130000,534598,981253.04000000,193335804.89110000,0
1638921600000,190.24000000,196.27000000,183.50000000,194.61000000,1670677.66000000,1639007999999,317713289.13290000,452538,858901.43000000,163495880.92450000,0
1639008000000,194.61000000,196.60000000,178.64000000,181.11000000,1664934.25000000,1639094399999,310244140.71390000,431652,793968.78000000,147997941.57700000,0
1639094400000,181.08000000,184.60000000,167.00000000,167.39000000,1862906.90000000,1639180799999,328445622.44080000,480714,906732.17000000,160015155.42970000,0
1639180800000,167.39000000,173.80000000,161.33000000,172.15000000,1541656.11000000,1639267199999,260637632.29710000,399298,748561.73000000,126607871.96190000,0
1639267200000,172.15000000,176.85000000,167.64000000,172.80000000,976615.96000000,1639353599999,167631329.58360000,265874,497798.11000000,85498683.27800000,0
1639353600000,172.83000000,172.83000000,148.04000000,155.21000000,2470231.82000000,1639439999999,394239559.08180000,557560,1164087.15000000,185804387.05600000,0
1639440000000,155.20000000,163.35000000,149.60000000,161.26000000,2151408.98000000,1639526399999,336483180.63140000,482948,1089998.56000000,170549053.27010000,0
1639526400000,161.25000000,182.64000000,156.81000000,178.52000000,3328550.89000000,1639612799999,563215533.52040000,838776,1688276.08000000,286051054.14180000,0
1639612800000,178.53000000,189.00000000,174.37000000,176.86000000,2482901.38000000,1639699199999,452932181.20150000,650522,1319578.47000000,240923118.75770000,0
1639699200000,176.89000000,182.50000000,167.88000000,175.51000000,2308612.94000000,1639785599999,406619554.34410000,593797,1135292.83000000,199980233.24790000,0
1639785600000,175.48000000,184.24000000,170.96000000,182.78000000,1218448.99000000,1639871999999,217402537.35820000,351212,599021.55000000,106938174.99690000,0
1639872000000,182.78000000,189.43000000,177.99000000,179.93000000,1217882.60000000,1639958399999,224029422.54450000,389005,611367.14000000,112553195.02250000,0
1639958400000,179.90000000,181.18000000,168.49000000,173.90000000,1448185.80000000,1640044799999,252805360.69040000,366776,693431.78000000,121117911.07460000,0
1640044800000,173.90000000,182.54000000,170.27000000,179.63000000,1302766.60000000,1640131199999,232062935.98670000,368859,650269.75000000,115866796.22130000,0
1640131200000,179.62000000,187.55000000,177.05000000,178.40000000,1379639.45000000,1640217599999,252282579.75560000,397883,687720.01000000,125761075.65920000,0
1640217600000,178.38000000,193.50000000,175.64000000,190.03000000,1726907.30000000,1640303999999,318109249.53940000,529807,905197.61000000,167052339.76260000,0
1640304000000,190.08000000,197.55000000,184.14000000,190.36000000,1657463.56000000,1640390399999,316617051.82800000,514169,852864.37000000,162990363.48950000,0
1640390400000,190.37000000,195.00000000,189.08000000,193.10000000,1047151.86000000,1640476799999,201292809.22360000,318427,585821.00000000,112627956.63520000,0
1640476800000,193.03000000,200.59000000,190.22000000,197.81000000,1539530.03000000,1640563199999,301973673.35800000,452500,875745.79000000,171823863.12290000,0
1640563200000,197.85000000,204.75000000,194.71000000,195.67000000,1218499.70000000,1640649599999,243841355.79110000,411501,599609.55000000,120104015.31510000,0
1640649600000,195.68000000,195.68000000,176.20000000,177.32000000,1997243.20000000,1640735999999,371876481.57180000,537797,988753.15000000,184109809.30730000,0
1640736000000,177.28000000,180.62000000,170.01000000,170.63000000,1540603.75000000,1640822399999,269857955.55620000,395718,742155.15000000,130053041.00430000,0
1640822400000,170.65000000,175.74000000,168.17000000,172.52000000,1022709.31000000,1640908799999,176482572.09280000,267354,511543.13000000,88270537.18940000,0
1640908800000,172.53000000,177.65000000,167.67000000,169.99000000,1026603.34000000,1640995199999,177345239.61250000,269799,502815.88000000,86887937.13070000,0
1640995200000,170.01000000,179.20000000,169.93000000,179.06000000,634599.39000000,1641081599999,110585214.91650000,179793,328250.16000000,57202310.01530000,0
1641081600000,179.06000000,179.53000000,174.31000000,176.35000000,620087.38000000,1641167999999,109509310.71340000,176256,313106.42000000,55294227.83680000,0
1641168000000,176.34000000,176.49000000,166.59000000,170.15000000,1031316.43000000,1641254399999,177240351.97020000,250131,537423.71000000,92331450.11780000,0
